idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
13907,Gymnocalycium uebelmannianum,,,,
13909,Calanthe lechangensis,,,,
13912,Tainia parviflora,,,,
13914,Bulbophyllum chrysochilum,,,,
13916,Bulbophyllum setuliferum,,,,
13917,Opuntia mamillata,,,,
13920,Mammillaria fittkaui,,,,
13921,Bulbophyllum languidum,,,,
13923,Dendrobium corrugatilobum,,,,
13925,×Espostocactus mirabilis,,,,
13927,Dendrobium percnanthum,,,,
13928,Phalaenopsis lamelligera,,,,
13929,Eria ridleyi,,,,
13931,Cyathea affinis,,,,
13932,Bulbophyllum analamazoatrae,,,,
13933,Cyathea bullata,,,,
13935,Bulbophyllum ferkoanum,,,,
13936,Taeniophyllum micranthum,,,,
13937,Corryocactus brevispinus,,,,
13939,Aerides flabellata,,,,
13940,Pelexia longifolia,,,,
13941,Bulbophyllum perpendiculare,,,,
13943,Spathoglottis pacifica,,,,
13948,Thrixspermum robinsonii,,,,
13949,Aloe duckeri,,,,
